sound	soundstr
gheed_act1_q6_after	A1Q6AfterInitGheed
warriv_act1_q6_after	A1Q6AfterInitWarriv
kashya_act1_q6_after	A1Q6AfterInitKashya
cain_act1_q6_early	A1Q6EarlyReturnCain
akara_act1_q6_early	A1Q6EarlyReturnAkara
gheed_act1_q6_early	A1Q6EarlyReturnGheed
charsi_act1_q6_early	A1Q6EarlyReturnCharsi
warriv_act1_q6_early	A1Q6EarlyReturnWarriv
kashya_act1_q6_early	A1Q6EarlyReturn2Kashya
akara_act1_q6_success	A1Q6SuccessfulAkara
charsi_act1_q6_success	A1Q6SuccessfulCharsi
kashya_act1_q6_success	A1Q6SuccessfulKashya
gheed_act1_q6_success	A1Q6SuccessfulGheed
warriv_act1_q6_success	A1Q6SuccessfulWarriv
cain_act1_q6_success	A1Q6SuccessfulCain
