Name	Def	LevelType
Act 1 - Crypt Theme SE	129	4
Act 1 - Crypt Theme SEW	130	4
Act 1 - Crypt Theme N	131	4
Act 1 - Crypt Theme NW	132	4
Act 1 - Crypt Theme NE	133	4
Act 1 - Crypt Theme NEW	134	4
Act 1 - Crypt Theme NS	135	4
Act 1 - Crypt Theme NSW	136	4
Act 1 - Crypt Theme NSE	137	4
Act 1 - Crypt Theme NSEW	138	4
Act 1 - Crypt Prev W	139	4
Act 1 - Crypt Prev E	140	4
Act 1 - Crypt Prev S	141	4
Act 1 - Crypt Prev N	142	4
Act 1 - Crypt Next W	143	4
Act 1 - Crypt Next E	144	4
Act 1 - Crypt Next S	145	4
Act 1 - Crypt Next N	146	4
Act 1 - Crypt Bonebreak W	147	4
Act 1 - Crypt Bonebreak E	148	4
Act 1 - Crypt Bonebreak S	149	4
Act 1 - Crypt Bonebreak N	150	4
Act 1 - Crypt Chest W	151	4
Act 1 - Crypt Chest E	152	4
Act 1 - Crypt Chest S	153	4
Act 1 - Crypt Chest N	154	4
Act 1 - Crypt Portal W	155	4
Act 1 - Crypt Portal E	156	4
Act 1 - Crypt Portal S	157	4
Act 1 - Crypt Portal N	158	4
Act 1 - Crypt Countess X	159	4
Act 1 - Cairn Stones	160	2
Act 1 - Inifus	161	2
Act 1 - Tower Tome	162	2
Act 1 - Tower 1	163	2
Act 1 - Tower 2	164	2
Act 1 - Mon Front	165	6
Act 1 - Courtyard 1	166	6
Act 1 - Barracks Court Connect	167	7
Act 1 - Barracks W	168	7
Act 1 - Barracks E	169	7
Act 1 - Barracks EW	170	7
Act 1 - Barracks S	171	7
Act 1 - Barracks SW	172	7
Act 1 - Barracks SE	173	7
Act 1 - Barracks SEW	174	7
Act 1 - Barracks N	175	7
Act 1 - Barracks NW	176	7
Act 1 - Barracks NE	177	7
Act 1 - Barracks NEW	178	7
Act 1 - Barracks NS	179	7
Act 1 - Barracks NSW	180	7
Act 1 - Barracks NSE	181	7
Act 1 - Barracks NSEW	182	7
Act 1 - Barracks Theme W	183	7
Act 1 - Barracks Theme E	184	7
Act 1 - Barracks Theme EW	185	7
Act 1 - Barracks Theme S	186	7
Act 1 - Barracks Theme SW	187	7
Act 1 - Barracks Theme SE	188	7
Act 1 - Barracks Theme SEW	189	7
Act 1 - Barracks Theme N	190	7
Act 1 - Barracks Theme NW	191	7
Act 1 - Barracks Theme NE	192	7
Act 1 - Barracks Theme NEW	193	7
Act 1 - Barracks Theme NS	194	7
Act 1 - Barracks Theme NSW	195	7
Act 1 - Barracks Theme NSE	196	7
Act 1 - Barracks Theme NSEW	197	7
Act 1 - Barracks Next W	198	7
Act 1 - Barracks Next E	199	7
Act 1 - Barracks Next S	200	7
Act 1 - Barracks Next N	201	7
Act 1 - Barracks Forge W	202	7
Act 1 - Barracks Forge E	203	7
Act 1 - Barracks Forge S	204	7
Act 1 - Barracks Forge N	205	7
Act 1 - Jail W	206	8
Act 1 - Jail E	207	8
Act 1 - Jail EW	208	8
Act 1 - Jail S	209	8
Act 1 - Jail SW	210	8
Act 1 - Jail SE	211	8
Act 1 - Jail SEW	212	8
Act 1 - Jail N	213	8
Act 1 - Jail NW	214	8
Act 1 - Jail NE	215	8
Act 1 - Jail NEW	216	8
Act 1 - Jail NS	217	8
Act 1 - Jail NSW	218	8
Act 1 - Jail NSE	219	8
Act 1 - Jail NSEW	220	8
Act 1 - Jail Theme W	221	8
Act 1 - Jail Theme E	222	8
Act 1 - Jail Theme EW	223	8
Act 1 - Jail Theme S	224	8
Act 1 - Jail Theme SW	225	8
Act 1 - Jail Theme SE	226	8
Act 1 - Jail Theme SEW	227	8
Act 1 - Jail Theme N	228	8
Act 1 - Jail Theme NW	229	8
Act 1 - Jail Theme NE	230	8
Act 1 - Jail Theme NEW	231	8
Act 1 - Jail Theme NS	232	8
Act 1 - Jail Theme NSW	233	8
Act 1 - Jail Theme NSE	234	8
Act 1 - Jail Theme NSEW	235	8
Act 1 - Jail Prev W	236	8
Act 1 - Jail Prev E	237	8
Act 1 - Jail Prev S	238	8
Act 1 - Jail Prev N	239	8
Act 1 - Jail Next W	240	8
Act 1 - Jail Next E	241	8
Act 1 - Jail Next S	242	8
Act 1 - Jail Next N	243	8
Act 1 - Jail Cath W	244	8
Act 1 - Jail Cath E	245	8
Act 1 - Jail Cath S	246	8
Act 1 - Jail Cath N	247	8
Act 1 - Jail Waypoint W	248	8
Act 1 - Jail Waypoint E	249	8
Act 1 - Jail Waypoint S	250	8
Act 1 - Jail Waypoint N	251	8
Act 1 - Jail Pitspawn W	252	8
Act 1 - Jail Pitspawn E	253	8
Act 1 - Jail Pitspawn S	254	8
Act 1 - Jail Pitspawn N	255	8
Act 1 - Courtyard 2	256	6
Act 1 - Cathedral	257	9
Act 1 - Catacombs W	258	10
Act 1 - Catacombs E	259	10
Act 1 - Catacombs EW	260	10
Act 1 - Catacombs S	261	10
Act 1 - Catacombs SW	262	10
Act 1 - Catacombs SE	263	10
Act 1 - Catacombs SEW	264	10
Act 1 - Catacombs N	265	10
Act 1 - Catacombs NW	266	10
Act 1 - Catacombs NE	267	10
Act 1 - Catacombs NEW	268	10
Act 1 - Catacombs NS	269	10
Act 1 - Catacombs NSW	270	10
Act 1 - Catacombs NSE	271	10
Act 1 - Catacombs NSEW	272	10
Act 1 - Catacombs Theme W	273	10
Act 1 - Catacombs Theme E	274	10
Act 1 - Catacombs Theme EW	275	10
Act 1 - Catacombs Theme S	276	10
Act 1 - Catacombs Theme SW	277	10
Act 1 - Catacombs Theme SE	278	10
Act 1 - Catacombs Theme SEW	279	10
Act 1 - Catacombs Theme N	280	10
Act 1 - Catacombs Theme NW	281	10
Act 1 - Catacombs Theme NE	282	10
Act 1 - Catacombs Theme NEW	283	10
Act 1 - Catacombs Theme NS	284	10
Act 1 - Catacombs Theme NSW	285	10
Act 1 - Catacombs Theme NSE	286	10
Act 1 - Catacombs Theme NSEW	287	10
Act 1 - Catacombs Prev EW	288	10
Act 1 - Catacombs Prev NS	289	10
Act 1 - Catacombs Prev NSEW	290	10
Act 1 - Catacombs Next W	291	10
Act 1 - Catacombs Next E	292	10
Act 1 - Catacombs Next S	293	10
Act 1 - Catacombs Next N	294	10
Act 1 - Catacombs Waypoint W	295	10
Act 1 - Catacombs Waypoint E	296	10
Act 1 - Catacombs Waypoint S	297	10
Act 1 - Catacombs Waypoint N	298	10
Act 1 - Andariel	299	10
Act 1 - Tristram	300	11
Act 2 - Town 	301	12
Act 2 - Sewer W	302	0
Act 2 - Sewer E 	303	0
Act 2 - Sewer EW	304	0
Act 2 - Sewer S	305	0
Act 2 - Sewer SW	306	0
Act 2 - Sewer SE	307	0
Act 2 - Sewer SEW	308	0
Act 2 - Sewer N	309	0
Act 2 - Sewer NW	310	0
Act 2 - Sewer NE	311	0
Act 2 - Sewer NEW	312	0
Act 2 - Sewer NS	313	0
Act 2 - Sewer NSW	314	0
Act 2 - Sewer NSE	315	0
Act 2 - Sewer NSEW	316	0
Act 2 - Sewer Theme W	317	0
Act 2 - Sewer Theme E 	318	0
Act 2 - Sewer Theme EW	319	0
Act 2 - Sewer Theme S	320	0
Act 2 - Sewer Theme SW	321	0
Act 2 - Sewer Theme SE	322	0
Act 2 - Sewer Theme SEW	323	0
Act 2 - Sewer Theme N	324	0
Act 2 - Sewer Theme NW	325	0
Act 2 - Sewer Theme NE	326	0
Act 2 - Sewer Theme NEW	327	0
Act 2 - Sewer Theme NS	328	0
Act 2 - Sewer Theme NSW	329	0
Act 2 - Sewer Theme NSE	330	0
Act 2 - Sewer Theme NSEW	331	0
Act 2 - Sewer Prev W	332	0
Act 2 - Sewer Prev E	333	0
Act 2 - Sewer Prev S	334	0
Act 2 - Sewer Prev N	335	0
Act 2 - Sewer Prev NS	336	0
Act 2 - Sewer Next W	337	0
Act 2 - Sewer Next E	338	0
Act 2 - Sewer Next S	339	0
Act 2 - Sewer Next N	340	0
Act 2 - Sewer Radament's Lair W	341	0
Act 2 - Sewer Radament's Lair E	342	0
Act 2 - Sewer Radament's Lair S	343	0
Act 2 - Sewer Radament's Lair N	344	0
Act 2 - Sewer Waypoint W	345	0
Act 2 - Sewer Waypoint E	346	0
Act 2 - Sewer Waypoint S	347	0
Act 2 - Sewer Waypoint N	348	0
Act 2 - Sewer Chest W	349	0
Act 2 - Sewer Chest E	350	0
Act 2 - Sewer Chest S	351	0
Act 2 - Sewer Chest N	352	0
Act 2 - Harem	353	0
Act 2 - Corrupt Harem NE	354	0
Act 2 - Corrupt Harem SE	355	0
Act 2 - Corrupt Harem SW	356	0
Act 2 - Corrupt Harem NW	357	0
Act 2 - Basement NE	358	0
Act 2 - Basement SE	359	0
Act 2 - Basement SW	360	0
Act 2 - Basement NW	361	0
Act 2 - Desert Transition W	362	0
Act 2 - Desert Transition N	363	0
Act 2 - Desert Border 1	364	0
Act 2 - Desert Border 2	365	0
Act 2 - Desert Border 3	366	0
Act 2 - Desert Border 4	367	0
Act 2 - Desert Border 5	368	0
Act 2 - Desert Border 6	369	0
Act 2 - Desert Border 7	370	0
Act 2 - Desert Border 8	371	0
Act 2 - Desert Border 9	372	0
Act 2 - Desert Border 10	373	0
Act 2 - Desert Border 11	374	0
Act 2 - Desert Border 12	375	0
Act 2 - Desert Cliff Right Ends	376	0
Act 2 - Desert Cliff Right Wall	377	0
Act 2 - Desert Cliff Right Path	378	0
Act 2 - Desert Cliff Left Ends	379	0
Act 2 - Desert Cliff Left Wall	380	0
Act 2 - Desert Cliff Left Path	381	0
Act 2 - Desert Cliff Top	382	0
Act 2 - Desert Cliff Right King Tomb	383	0
Act 2 - Desert Cliff Right King Ends	384	0
Act 2 - Desert Cliff Left King Tomb	385	0
Act 2 - Desert Cliff Left King Ends	386	0
Act 2 - Desert Cliff Top King Tomb	387	0
Act 2 - Desert Tomb 1	388	0
Act 2 - Desert Tomb 2	389	0
Act 2 - Desert Lair 1	390	0
Act 2 - Desert Lair 2	391	0
Act 2 - Desert Valley Ruin 1	392	0
Act 2 - Desert Valley Ruin 2	393	0
Act 2 - Desert Valley Warp	394	0
Act 2 - Desert Oasis 1	395	0
Act 2 - Desert Oasis 2	396	0
Act 2 - Desert Oasis 3	397	0
Act 2 - Desert Fill Mesa 1	398	0
Act 2 - Desert Fill Head 1	399	0
Act 2 - Desert Fill Head 2	400	0
Act 2 - Desert Fill Bone 1	401	0
Act 2 - Desert Fill Bone 2	402	0
Act 2 - Desert Fill Wagon 1	403	0
Act 2 - Desert Fill Berms 1	404	0
Act 2 - Desert Fill Berms 2	405	0
Act 2 - Desert Fill Berms 3	406	0
Act 2 - Desert Fill Berms 4	407	0
Act 2 - Desert Ruins 16X16	408	0
Act 2 - Desert Ruins 16X08	409	0
Act 2 - Desert Ruins 08X16	410	0
Act 2 - Desert Ruins 08X08	411	0
Act 2 - Desert Ruins Sewer	412	0
Act 2 - Desert Ruins Elder	413	0
Act 2 - Tomb W	414	0
Act 2 - Tomb E	415	0
Act 2 - Tomb EW	416	0
Act 2 - Tomb S	417	0
Act 2 - Tomb SW	418	0
Act 2 - Tomb SE	419	0
Act 2 - Tomb SEW	420	0
Act 2 - Tomb N	421	0
Act 2 - Tomb NW	422	0
Act 2 - Tomb NE	423	0
Act 2 - Tomb NEW	424	0
Act 2 - Tomb NS	425	0
Act 2 - Tomb NSW	426	0
Act 2 - Tomb NSE	427	0
Act 2 - Tomb NSEW	428	0
Act 2 - Tomb Theme W	429	0
Act 2 - Tomb Theme E	430	0
Act 2 - Tomb Theme EW	431	0
Act 2 - Tomb Theme S	432	0
Act 2 - Tomb Theme SW	433	0
Act 2 - Tomb Theme SE	434	0
Act 2 - Tomb Theme SEW	435	0
Act 2 - Tomb Theme N	436	0
Act 2 - Tomb Theme NW	437	0
Act 2 - Tomb Theme NE	438	0
Act 2 - Tomb Theme NEW	439	0
Act 2 - Tomb Theme NS	440	0
Act 2 - Tomb Theme NSW	441	0
Act 2 - Tomb Theme NSE	442	0
Act 2 - Tomb Theme NSEW	443	0
Act 2 - Tomb Prev SEW	444	0
Act 2 - Tomb Prev NEW	445	0
Act 2 - Tomb Prev NSW	446	0
Act 2 - Tomb Prev NSE	447	0
Act 2 - Tomb Next W	448	0
Act 2 - Tomb Next E	449	0
Act 2 - Tomb Next S	450	0
Act 2 - Tomb Next N	451	0
Act 2 - Tomb Treasure W	452	0
Act 2 - Tomb Treasure E	453	0
Act 2 - Tomb Treasure S	454	0
Act 2 - Tomb Treasure N	455	0
Act 2 - Tomb Cube W	456	0
Act 2 - Tomb Cube E	457	0
Act 2 - Tomb Cube S	458	0
Act 2 - Tomb Cube N	459	0
Act 2 - Tomb Talrasha W	460	0
Act 2 - Tomb Talrasha E	461	0
Act 2 - Tomb Talrasha S	462	0
Act 2 - Tomb Talrasha N	463	0
Act 2 - Tomb Leatherarm W	464	0
Act 2 - Tomb Leatherarm E	465	0
Act 2 - Tomb Leatherarm S	466	0
Act 2 - Tomb Leatherarm N	467	0
Act 2 - Tomb Kaa W	468	0
Act 2 - Tomb Kaa E	469	0
Act 2 - Tomb Kaa S	470	0
Act 2 - Tomb Kaa N	471	0
Act 2 - Tomb Chest W	472	0
Act 2 - Tomb Chest E	473	0
Act 2 - Tomb Chest S	474	0
Act 2 - Tomb Chest N	475	0
Act 2 - Tomb Waypoint W	476	0
Act 2 - Tomb Waypoint E	477	0
Act 2 - Tomb Waypoint S	478	0
Act 2 - Tomb Waypoint N	479	0
Act 2 - Tomb Tainted Sun X	480	0
Act 2 - Duriel's Lair	481	0
Act 2 - Lair W	482	0
Act 2 - Lair E	483	0
Act 2 - Lair EW	484	0
Act 2 - Lair S	485	0
Act 2 - Lair SW	486	0
Act 2 - Lair SE	487	0
Act 2 - Lair SEW	488	0
Act 2 - Lair N	489	0
Act 2 - Lair NW	490	0
Act 2 - Lair NE	491	0
Act 2 - Lair NEW	492	0
Act 2 - Lair NS	493	0
Act 2 - Lair NSW	494	0
Act 2 - Lair NSE	495	0
Act 2 - Lair NSEW	496	0
Act 2 - Lair Prev W	497	0
Act 2 - Lair Prev E	498	0
Act 2 - Lair Prev S	499	0
Act 2 - Lair Prev N	500	0
Act 2 - Lair Next W	501	0
Act 2 - Lair Next E	502	0
Act 2 - Lair Next S	503	0
Act 2 - Lair Next N	504	0
Act 2 - Lair Treasure W	505	0
Act 2 - Lair Treasure E	506	0
Act 2 - Lair Treasure S	507	0
Act 2 - Lair Treasure N	508	0
Act 2 - Lair Tight Spot S	509	0
Act 2 - Arcane W	510	0
Act 2 - Arcane E	511	0
Act 2 - Arcane EW	512	0
Act 2 - Arcane S	513	0
Act 2 - Arcane SW	514	0
Act 2 - Arcane SE	515	0
Act 2 - Arcane SEW	516	0
Act 2 - Arcane N	517	0
Act 2 - Arcane NW	518	0
Act 2 - Arcane NE	519	0
Act 2 - Arcane NEW	520	0
Act 2 - Arcane NS	521	0
Act 2 - Arcane NSW	522	0
Act 2 - Arcane NSE	523	0
Act 2 - Arcane NSEW	524	0
Act 2 - Arcane Summoner W	525	0
Act 2 - Arcane Summoner E	526	0
Act 2 - Arcane Summoner S	527	0
Act 2 - Arcane Summoner N	528	0
Act 3 - Town	529	20
Act 3 - Jungle W	530	0
Act 3 - Jungle E	531	0
Act 3 - Jungle EW	532	0
Act 3 - Jungle S	533	0
Act 3 - Jungle SW	534	0
Act 3 - Jungle SE	535	0
Act 3 - Jungle SEW	536	0
Act 3 - Jungle N	537	0
Act 3 - Jungle NW	538	0
Act 3 - Jungle NE	539	0
Act 3 - Jungle NEW	540	0
Act 3 - Jungle NS	541	0
Act 3 - Jungle NSW	542	0
Act 3 - Jungle NSE	543	0
Act 3 - Jungle NSEW	544	0
Act 3 - Jungle W E	545	0
Act 3 - Jungle W S	546	0
Act 3 - Jungle W N	547	0
Act 3 - Jungle E W	548	0
Act 3 - Jungle E S	549	0
Act 3 - Jungle E N	550	0
Act 3 - Jungle EW S	551	0
Act 3 - Jungle EW N	552	0
Act 3 - Jungle S W	553	0
Act 3 - Jungle S E	554	0
Act 3 - Jungle S N	555	0
Act 3 - Jungle SW E	556	0
Act 3 - Jungle SW N	557	0
Act 3 - Jungle SE W	558	0
Act 3 - Jungle SE N	559	0
Act 3 - Jungle SEW N	560	0
Act 3 - Jungle N W	561	0
Act 3 - Jungle N E	562	0
Act 3 - Jungle N S	563	0
Act 3 - Jungle NW E	564	0
Act 3 - Jungle NW S	565	0
Act 3 - Jungle NE W	566	0
Act 3 - Jungle NE S	567	0
Act 3 - Jungle NEW S	568	0
Act 3 - Jungle NS W	569	0
Act 3 - Jungle NS E	570	0
Act 3 - Jungle NSW E	571	0
Act 3 - Jungle NSE W	572	0
Act 3 - Jungle Head	573	0
Act 3 - Jungle Tail	574	0
Act 3 - Clearing Webby W	575	0
Act 3 - Clearing Webby E	576	0
Act 3 - Clearing Webby EW	577	0
Act 3 - Clearing Webby S	578	0
Act 3 - Clearing Webby SW	579	0
Act 3 - Clearing Webby SE	580	0
Act 3 - Clearing Webby N	581	0
Act 3 - Clearing Webby NW	582	0
Act 3 - Clearing Webby NE	583	0
Act 3 - Clearing Webby NS	584	0
Act 3 - Clearing Boggy W	585	0
Act 3 - Clearing Boggy E	586	0
Act 3 - Clearing Boggy EW	587	0
Act 3 - Clearing Boggy S	588	0
Act 3 - Clearing Boggy SW	589	0
Act 3 - Clearing Boggy SE	590	0
Act 3 - Clearing Boggy N	591	0
Act 3 - Clearing Boggy NW	592	0
Act 3 - Clearing Boggy NE	593	0
Act 3 - Clearing Boggy NS	594	0
Act 3 - Clearing Pygmy W	595	0
Act 3 - Clearing Pygmy E	596	0
Act 3 - Clearing Pygmy EW	597	0
Act 3 - Clearing Pygmy S	598	0
Act 3 - Clearing Pygmy SW	599	0
Act 3 - Clearing Pygmy SE	600	0
Act 3 - Clearing Pygmy N	601	0
Act 3 - Clearing Pygmy NW	602	0
Act 3 - Clearing Pygmy NE	603	0
Act 3 - Clearing Pygmy NS	604	0
Act 3 - Slums Border N	605	0
Act 3 - Slums Border S	606	0
Act 3 - Slums Border E	607	0
Act 3 - Slums Border W	608	0
Act 3 - Slums Border NE	609	0
Act 3 - Slums Border NW	610	0
Act 3 - Slums Border SE	611	0
Act 3 - Slums Border SW	612	0
Act 3 - Slums Gate N	613	0
Act 3 - Slums Gate S	614	0
Act 3 - Slums 08x08	615	0
Act 3 - Slums 08x16	616	0
Act 3 - Slums 16x08	617	0
Act 3 - Slums 16x16	618	0
Act 3 - Burbs Border N	619	0
Act 3 - Burbs Border S	620	0
Act 3 - Burbs Border E	621	0
Act 3 - Burbs Border W	622	0
Act 3 - Burbs Border NE	623	0
Act 3 - Burbs Border NW	624	0
Act 3 - Burbs Border SE	625	0
Act 3 - Burbs Border SW	626	0
Act 3 - Burbs Gate N	627	0
Act 3 - Burbs Gate S	628	0
Act 3 - Burbs Sewer	629	0
Act 3 - Burbs Temple	630	0
Act 3 - Burbs Waypoint	631	0
Act 3 - Burbs 08x08	632	0
Act 3 - Burbs 08x16	633	0
Act 3 - Burbs 16x08	634	0
Act 3 - Burbs 16x16	635	0
Act 3 - Metro Border N	636	0
Act 3 - Metro Border S	637	0
Act 3 - Metro Border E	638	0
Act 3 - Metro Border W	639	0
Act 3 - Metro Border NE	640	0
Act 3 - Metro Border NW	641	0
Act 3 - Metro Border SE	642	0
Act 3 - Metro Border SW	643	0
Act 3 - Metro Gate N	644	0
Act 3 - Metro Gate S	645	0
Act 3 - Metro Sewer	646	0
Act 3 - MetroTemple	647	0
Act 3 - Metro 08x08	648	0
Act 3 - Metro 08x16	649	0
Act 3 - Metro 16x08	650	0
Act 3 - Metro 16x16	651	0
Act 3 - Bridge	652	0
Act 3 - Travincal NW	653	0
Act 3 - Travincal N 	654	0
Act 3 - Travincal NE	655	0
Act 3 - Travincal SW	656	0
Act 3 - Travincal S 	657	0
Act 3 - Travincal SE	658	0
Act 3 - Spider SW	659	0
Act 3 - Spider SE	660	0
Act 3 - Spider NW	661	0
Act 3 - Spider NE	662	0
Act 3 - Spider Chest NW	663	0
Act 3 - Spider Chest NE	664	0
Act 3 - Dungeon W	665	0
Act 3 - Dungeon E	666	0
Act 3 - Dungeon EW	667	0
Act 3 - Dungeon S	668	0
Act 3 - Dungeon SW	669	0
Act 3 - Dungeon SE	670	0
Act 3 - Dungeon SEW	671	0
Act 3 - Dungeon N	672	0
Act 3 - Dungeon NW	673	0
Act 3 - Dungeon NE	674	0
Act 3 - Dungeon NEW	675	0
Act 3 - Dungeon NS	676	0
Act 3 - Dungeon NSW	677	0
Act 3 - Dungeon NSE	678	0
Act 3 - Dungeon NSEW	679	0
Act 3 - Dungeon Theme W	680	0
Act 3 - Dungeon Theme E	681	0
Act 3 - Dungeon Theme EW	682	0
Act 3 - Dungeon Theme S	683	0
Act 3 - Dungeon Theme SW	684	0
Act 3 - Dungeon Theme SE	685	0
Act 3 - Dungeon Theme SEW	686	0
Act 3 - Dungeon Theme N	687	0
Act 3 - Dungeon Theme NW	688	0
Act 3 - Dungeon Theme NE	689	0
Act 3 - Dungeon Theme NEW	690	0
Act 3 - Dungeon Theme NS	691	0
Act 3 - Dungeon Theme NSW	692	0
Act 3 - Dungeon Theme NSE	693	0
Act 3 - Dungeon Theme NSEW	694	0
Act 3 - Dungeon Prev W	695	0
Act 3 - Dungeon Prev E	696	0
Act 3 - Dungeon Prev S	697	0
Act 3 - Dungeon Prev N	698	0
Act 3 - Dungeon Next W	699	0
Act 3 - Dungeon Next E	700	0
Act 3 - Dungeon Next S	701	0
Act 3 - Dungeon Next N	702	0
Act 3 - Dungeon Treasure 1	703	0
Act 3 - Dungeon Treasure 2	704	0
Act 3 - Sewer W	705	0
Act 3 - Sewer E	706	0
Act 3 - Sewer EW	707	0
Act 3 - Sewer S	708	0
Act 3 - Sewer SW	709	0
Act 3 - Sewer SE	710	0
Act 3 - Sewer SEW	711	0
Act 3 - Sewer N	712	0
Act 3 - Sewer NW	713	0
Act 3 - Sewer NE	714	0
Act 3 - Sewer NEW	715	0
Act 3 - Sewer NS	716	0
Act 3 - Sewer NSW	717	0
Act 3 - Sewer NSE	718	0
Act 3 - Sewer NSEW	719	0
Act 3 - Sewer Theme W	720	0
Act 3 - Sewer Theme E	721	0
Act 3 - Sewer Theme EW	722	0
Act 3 - Sewer Theme S	723	0
Act 3 - Sewer Theme SW	724	0
Act 3 - Sewer Theme SE	725	0
Act 3 - Sewer Theme SEW	726	0
Act 3 - Sewer Theme N	727	0
Act 3 - Sewer Theme NW	728	0
Act 3 - Sewer Theme NE	729	0
Act 3 - Sewer Theme NEW	730	0
Act 3 - Sewer Theme NS	731	0
Act 3 - Sewer Theme NSW	732	0
Act 3 - Sewer Theme NSE	733	0
Act 3 - Sewer Theme NSEW	734	0
Act 3 - Sewer Prev SW	735	0
Act 3 - Sewer Prev SE	736	0
Act 3 - Sewer Prev NW	737	0
Act 3 - Sewer Prev NE	738	0
Act 3 - Sewer Drain W	739	0
Act 3 - Sewer Drain E	740	0
Act 3 - Sewer Drain S	741	0
